distribution,function_type,weight_function,empirical_size,valid_simulations,total_simulations,false_alarms
Gaussian,linear,gamma_0.0,0.084,2000,2000,168
Gaussian,linear,gamma_0.25,0.0855,2000,2000,171
Gaussian,linear,gamma_0.45,0.0825,2000,2000,165
Gaussian,linear,log,0.0135,2000,2000,27
Gaussian,log,gamma_0.0,0.063,2000,2000,126
Gaussian,log,gamma_0.25,0.0645,2000,2000,129
Gaussian,log,gamma_0.45,0.0725,2000,2000,145
Gaussian,log,log,0.01,2000,2000,20
Gaussian,mix,gamma_0.0,0.062,2000,2000,124
Gaussian,mix,gamma_0.25,0.068,2000,2000,136
Gaussian,mix,gamma_0.45,0.083,2000,2000,166
Gaussian,mix,log,0.009,2000,2000,18
Gaussian,square,gamma_0.0,0.1315,2000,2000,263
Gaussian,square,gamma_0.25,0.1415,2000,2000,283
Gaussian,square,gamma_0.45,0.166,2000,2000,332
Gaussian,square,log,0.0315,2000,2000,63
Uniform,linear,gamma_0.0,0.0535,2000,2000,107
Uniform,linear,gamma_0.25,0.06,2000,2000,120
Uniform,linear,gamma_0.45,0.071,2000,2000,142
Uniform,linear,log,0.0055,2000,2000,11
Uniform,log,gamma_0.0,0.045,2000,2000,90
Uniform,log,gamma_0.25,0.05,2000,2000,100
Uniform,log,gamma_0.45,0.057,2000,2000,114
Uniform,log,log,0.0045,2000,2000,9
Uniform,mix,gamma_0.0,0.057,2000,2000,114
Uniform,mix,gamma_0.25,0.067,2000,2000,134
Uniform,mix,gamma_0.45,0.078,2000,2000,156
Uniform,mix,log,0.007,2000,2000,14
Uniform,square,gamma_0.0,0.1235,2000,2000,247
Uniform,square,gamma_0.25,0.129,2000,2000,258
Uniform,square,gamma_0.45,0.141,2000,2000,282
Uniform,square,log,0.037,2000,2000,74
TDist,linear,gamma_0.0,0.0755,2000,2000,151
TDist,linear,gamma_0.25,0.0835,2000,2000,167
TDist,linear,gamma_0.45,0.104,2000,2000,208
TDist,linear,log,0.01,2000,2000,20
TDist,log,gamma_0.0,0.089,2000,2000,178
TDist,log,gamma_0.25,0.0885,2000,2000,177
TDist,log,gamma_0.45,0.081,2000,2000,162
TDist,log,log,0.019,2000,2000,38
TDist,mix,gamma_0.0,0.0715,2000,2000,143
TDist,mix,gamma_0.25,0.0805,2000,2000,161
TDist,mix,gamma_0.45,0.0905,2000,2000,181
TDist,mix,log,0.011,2000,2000,22
TDist,square,gamma_0.0,0.1585,2000,2000,317
TDist,square,gamma_0.25,0.1645,2000,2000,329
TDist,square,gamma_0.45,0.1715,2000,2000,343
TDist,square,log,0.0455,2000,2000,91
