Distribution,FunctionType,WeightFunction,K_Star,ChangeType,ChangeParam,Power,EDD
Gaussian,linear,gamma_0.0,350,inflation,1.1,0.987,114.84093211752786
Gaussian,linear,gamma_0.25,350,inflation,1.1,0.9775,107.33246753246753
Gaussian,linear,gamma_0.45,350,inflation,1.1,0.922,122.17674150834773
Gaussian,linear,log,350,inflation,1.1,0.9555,215.99372056514915
Gaussian,linear,gamma_0.0,350,inflation,1.2,1.0,42.10155077538769
Gaussian,linear,gamma_0.25,350,inflation,1.2,1.0,35.79696202531645
Gaussian,linear,gamma_0.45,350,inflation,1.2,1.0,36.7649550026469
Gaussian,linear,log,350,inflation,1.2,1.0,76.111
Gaussian,linear,gamma_0.0,350,inflation,1.3,1.0,25.530295443164746
Gaussian,linear,gamma_0.25,350,inflation,1.3,1.0,21.117886178861788
Gaussian,linear,gamma_0.45,350,inflation,1.3,1.0,20.83729529846804
Gaussian,linear,log,350,inflation,1.3,1.0,45.401
Gaussian,linear,gamma_0.0,350,inflation,1.4,1.0,18.36768384192096
Gaussian,linear,gamma_0.25,350,inflation,1.4,1.0,14.959959452610239
Gaussian,linear,gamma_0.45,350,inflation,1.4,1.0,14.482075976457999
Gaussian,linear,log,350,inflation,1.4,1.0,32.219
Gaussian,linear,gamma_0.0,350,inflation,1.5,1.0,14.4994994994995
Gaussian,linear,gamma_0.25,350,inflation,1.5,1.0,11.79500254971953
Gaussian,linear,gamma_0.45,350,inflation,1.5,1.0,11.366879659211927
Gaussian,linear,log,350,inflation,1.5,1.0,25.269
Gaussian,linear,gamma_0.0,350,ar1,0.1,1.0,7.33033033033033
Gaussian,linear,gamma_0.25,350,ar1,0.1,1.0,5.956521739130435
Gaussian,linear,gamma_0.45,350,ar1,0.1,1.0,5.67053241960991
Gaussian,linear,log,350,ar1,0.1,1.0,12.286
Gaussian,linear,gamma_0.0,350,ar1,0.3,1.0,7.313156578289145
Gaussian,linear,gamma_0.25,350,ar1,0.3,1.0,5.966480446927374
Gaussian,linear,gamma_0.45,350,ar1,0.3,1.0,5.659810126582278
Gaussian,linear,log,350,ar1,0.3,1.0,12.3195
Gaussian,linear,gamma_0.0,350,ar1,0.5,1.0,7.325
Gaussian,linear,gamma_0.25,350,ar1,0.5,1.0,5.934793683138054
Gaussian,linear,gamma_0.45,350,ar1,0.5,1.0,5.658484525080043
Gaussian,linear,log,350,ar1,0.5,1.0,12.3515
Gaussian,linear,gamma_0.0,350,ar1,0.7,1.0,7.423711855927964
Gaussian,linear,gamma_0.25,350,ar1,0.7,1.0,6.045778229908444
Gaussian,linear,gamma_0.45,350,ar1,0.7,1.0,5.773936170212766
Gaussian,linear,log,350,ar1,0.7,1.0,12.4165
Gaussian,linear,gamma_0.0,350,ar1,0.9,1.0,7.363363363363363
Gaussian,linear,gamma_0.25,350,ar1,0.9,1.0,5.9923702950152595
Gaussian,linear,gamma_0.45,350,ar1,0.9,1.0,5.701429327686607
Gaussian,linear,log,350,ar1,0.9,1.0,12.3795
Gaussian,linear,gamma_0.0,350,spike,2.0,1.0,14.012
Gaussian,linear,gamma_0.25,350,spike,2.0,1.0,11.353238866396762
Gaussian,linear,gamma_0.45,350,spike,2.0,1.0,10.906951871657753
Gaussian,linear,log,350,spike,2.0,1.0,24.173
Gaussian,linear,gamma_0.0,350,spike,2.5,1.0,13.341170585292646
Gaussian,linear,gamma_0.25,350,spike,2.5,1.0,10.908629441624365
Gaussian,linear,gamma_0.45,350,spike,2.5,1.0,10.488912354804647
Gaussian,linear,log,350,spike,2.5,1.0,22.977
Gaussian,linear,gamma_0.0,350,spike,3.0,1.0,12.745
Gaussian,linear,gamma_0.25,350,spike,3.0,1.0,10.320668693009118
Gaussian,linear,gamma_0.45,350,spike,3.0,1.0,9.922751322751322
Gaussian,linear,log,350,spike,3.0,1.0,21.838
Gaussian,linear,gamma_0.0,350,spike,3.5,1.0,12.173259889834751
Gaussian,linear,gamma_0.25,350,spike,3.5,1.0,9.955949367088607
Gaussian,linear,gamma_0.45,350,spike,3.5,1.0,9.513024986709198
Gaussian,linear,log,350,spike,3.5,1.0,20.8395
Gaussian,linear,gamma_0.0,350,spike,4.0,1.0,11.6685
Gaussian,linear,gamma_0.25,350,spike,4.0,1.0,9.416624429802331
Gaussian,linear,gamma_0.45,350,spike,4.0,1.0,9.005313496280552
Gaussian,linear,log,350,spike,4.0,1.0,20.0525
Gaussian,linear,gamma_0.0,450,inflation,1.1,0.9925,133.1575975359343
Gaussian,linear,gamma_0.25,450,inflation,1.1,0.98,144.99946438136047
