trial,method,detected_time,EDD,ChangeType,ChangeParam,Distribution
1,Our,207,7.0,ar1,0.1,Gaussian
1,LL23,207,7.0,ar1,0.1,Gaussian
1,A19,213,13.0,ar1,0.1,Gaussian
2,Our,205,5.0,ar1,0.1,Gaussian
2,LL23,216,16.0,ar1,0.1,Gaussian
2,A19,217,17.0,ar1,0.1,Gaussian
3,Our,206,6.0,ar1,0.1,Gaussian
3,LL23,217,17.0,ar1,0.1,Gaussian
3,A19,137,-63.0,ar1,0.1,Gaussian
4,Our,205,5.0,ar1,0.1,Gaussian
4,LL23,221,21.0,ar1,0.1,Gaussian
4,A19,218,18.0,ar1,0.1,Gaussian
5,Our,204,4.0,ar1,0.1,Gaussian
5,LL23,216,16.0,ar1,0.1,Gaussian
5,A19,207,7.0,ar1,0.1,Gaussian
6,Our,205,5.0,ar1,0.1,Gaussian
6,LL23,218,18.0,ar1,0.1,Gaussian
6,A19,204,4.0,ar1,0.1,Gaussian
7,Our,206,6.0,ar1,0.1,Gaussian
7,LL23,204,4.0,ar1,0.1,Gaussian
7,A19,116,-84.0,ar1,0.1,Gaussian
8,Our,209,9.0,ar1,0.1,Gaussian
8,LL23,217,17.0,ar1,0.1,Gaussian
8,A19,209,9.0,ar1,0.1,Gaussian
9,Our,204,4.0,ar1,0.1,Gaussian
9,LL23,216,16.0,ar1,0.1,Gaussian
9,A19,215,15.0,ar1,0.1,Gaussian
10,Our,206,6.0,ar1,0.1,Gaussian
10,LL23,209,9.0,ar1,0.1,Gaussian
10,A19,216,16.0,ar1,0.1,Gaussian
11,Our,206,6.0,ar1,0.1,Gaussian
11,LL23,206,6.0,ar1,0.1,Gaussian
11,A19,145,-55.0,ar1,0.1,Gaussian
12,Our,204,4.0,ar1,0.1,Gaussian
12,LL23,213,13.0,ar1,0.1,Gaussian
12,A19,205,5.0,ar1,0.1,Gaussian
13,Our,206,6.0,ar1,0.1,Gaussian
13,LL23,211,11.0,ar1,0.1,Gaussian
13,A19,209,9.0,ar1,0.1,Gaussian
14,Our,206,6.0,ar1,0.1,Gaussian
14,LL23,220,20.0,ar1,0.1,Gaussian
